structure_id,formula,band_gap,homo_energy,lumo_energy,bs,calculation_time
0,Cd36S36,1.856270434369169,3.5563699309209285,5.412640365290097,None,719.6185586452484
1,Cd36S36,1.7687642617439914,3.626405407002497,5.3951696687464885,None,879.4466898441315
2,Cd36S36,1.7608654272162805,3.6290552975262185,5.389920724742499,None,783.3841454982758
3,Cd36S36,1.71542544345556,3.657813317670371,5.373238761125931,None,790.5567100048065
4,Cd36S36,1.8477714262870308,3.562415025390616,5.410186451677647,None,732.5362403392792
5,Cd36S36,1.743486335607229,3.638156275667595,5.381642611274824,None,763.4484176635742
6,Cd36S36,1.8153665978508857,3.591120051031645,5.406486648882531,None,786.7984972000122
7,Cd36S36,1.835932888214428,3.5780302170670053,5.413963105281433,None,804.1602854728699
8,Cd36S36,1.815131846230718,3.5819494178201796,5.397081264050898,None,838.2249865531921
9,Cd36S36,1.7975827519819165,3.6013889816010285,5.398971733582945,None,763.4196751117706
10,Cd36S36,1.7944165494702955,3.5959222420002592,5.390338791470555,None,837.9136233329773
11,Cd36S36,1.861858605523247,3.551842250541116,5.413700856064363,None,803.8697400093079
12,Cd36S36,1.7470008471166412,3.6366608325203598,5.383661679637001,None,845.7103087902069
13,Cd36S36,1.8673793459982324,3.547542341838459,5.414921687836691,None,803.3816874027252
14,Cd36S36,1.7875141316359775,3.5993894076797632,5.386903539315741,None,791.1874589920044
15,Cd36S36,1.8414308295829294,3.570907994135408,5.412338823718337,None,745.090452671051
16,Cd36S36,1.843402746913688,3.564135796271667,5.407538543185355,None,821.9036800861359
17,Cd36S36,1.818491251732003,3.593192479546804,5.411683731278807,None,869.1743576526642
18,Cd36S36,1.8148524575581773,3.5840379359854744,5.398890393543652,None,798.7242896556854
