Configuration,Time,a,c,u,Volume
"(1, 2, 2)",0.0,0.0,0.0,0.0,0.0
"(2, 1, 2)",0.0,0.0,0.0,0.0,0.0
"(1, 1, 1)",23.828125,4.868879275837764,5.352734051088691,0.4800305441316897,109.89151394897341
"(1, 1, 2)",150.90625,4.881346125985007,4.344325769515304,0.28095381535318337,178.05036859539854
"(2, 1, 1)",126.171875,4.813863808642723,5.681900537993244,0.48138795538865103,180.24909566530357
"(1, 2, 1)",162.65625,3.543573187504285,5.682672779527441,0.4816587489146557,180.26595859955214
"(2, 2, 1)",129.140625,3.3654022471664624,5.840410921798109,0.4784213619065516,229.14373524003568
"(2, 2, 2)",393.203125,3.351372188237125,5.887930380831702,0.23922256812550866,458.17206605932756
"(2, 3, 2)",930.109375,3.349432690035111,5.876124686029689,0.2403485048407352,684.9863319885412
"(3, 2, 2)",979.640625,3.344736215590366,5.876289568065279,0.24035486173274995,685.0080259093494
"(2, 2, 3)",705.296875,3.350824134883567,5.881685235062563,0.1594661369042393,686.3046262807219
"(3, 3, 2)",1716.203125,3.345539551624336,5.873786276794833,0.24080855148374,1024.834210033535
"(2, 3, 3)",2131.375,3.350072395740848,5.869549723127437,0.1602406428323114,1026.4481237398
"(3, 2, 3)",2175.765625,3.3446568354005213,5.869280728779505,0.1602426424926028,1026.4570458294377
"(3, 3, 3)",4397.046875,3.3459643499463176,5.867070652132135,0.16056019133625207,1535.88370489479
