Structure,Bandgap(eV)
structure_000,2.2233
structure_001,2.1371
structure_002,2.1241
structure_003,2.0730
structure_004,2.2016
structure_005,2.1128
structure_006,2.1834
structure_007,2.1971
structure_008,2.1815
structure_009,2.1409
structure_010,2.1595
structure_011,2.2059
structure_012,2.1133
structure_013,2.2232
structure_014,2.1301
structure_015,2.2081
structure_016,2.1707
structure_017,2.1746
structure_018,2.1827
structure_019,2.1385
structure_020,2.2079
structure_021,2.1564
structure_022,2.1134
structure_023,2.0801
structure_024,2.1726
structure_025,2.2100
structure_026,2.1515
structure_027,2.1502
structure_028,2.2203
structure_029,2.1815
structure_030,2.1334
structure_031,2.1171
structure_032,2.2102
structure_033,2.1711
structure_034,2.2152
structure_035,2.2015
structure_036,2.1592
structure_037,2.1435
structure_038,2.2281
structure_039,2.1794
structure_040,2.2003
structure_041,2.1852
structure_042,2.1905
structure_043,2.2211
structure_044,2.1357
structure_045,2.1977
structure_046,2.1768
structure_047,2.1580
structure_048,2.1877
structure_049,2.1671
structure_050,2.0889
structure_051,2.2078
structure_052,2.1518
structure_053,2.1382
structure_054,2.0487
structure_055,2.1637
structure_056,2.2133
structure_057,2.1637
structure_058,2.1959
structure_059,2.1904
structure_060,2.1481
structure_061,2.1747
structure_062,2.1697
structure_063,2.1667
structure_064,2.1888
structure_065,2.1449
structure_066,2.1869
structure_067,2.1162
structure_068,2.1404
structure_069,2.1276
structure_070,2.1771
structure_071,2.1569
structure_072,2.1464
structure_073,2.1606
structure_074,2.1581
structure_075,2.0931
structure_076,2.1587
structure_077,2.2005
structure_078,2.2157
structure_079,2.1424
structure_080,2.1963
structure_081,2.1671
structure_082,2.2108
structure_083,2.1935
structure_084,2.2162
structure_085,2.0835
structure_086,2.1675
structure_087,2.1761
structure_088,2.1855
structure_089,2.1814
structure_090,2.1336
structure_091,2.1185
structure_092,2.1569
structure_093,2.1622
structure_094,2.1167
structure_095,2.1791
structure_096,2.1764
structure_097,2.1163
structure_098,2.2082
structure_099,2.1331
structure_100,2.2138
structure_101,2.1101
structure_102,2.1600
structure_103,2.1471
structure_104,2.1851
structure_105,2.1760
structure_106,2.1674
structure_107,2.1925
structure_108,2.1850
structure_109,2.1229
structure_110,2.1517
structure_111,2.1842
structure_112,2.2164
structure_113,2.1193
structure_114,2.1740
structure_115,2.1138
structure_116,2.1763
structure_117,2.1377
structure_118,2.1062
structure_119,2.1141
structure_120,2.2144
structure_121,2.1911
structure_122,2.1835
structure_123,2.1848
structure_124,2.1492
structure_125,2.1698
structure_126,2.1583
structure_127,2.1936
structure_128,2.1704
structure_129,2.1838
structure_130,2.1281
structure_131,2.1440
structure_132,2.2016
structure_133,2.1706
structure_134,2.1766
structure_135,2.1334
structure_136,2.1377
structure_137,2.2000
structure_138,2.2089
structure_139,2.1917
structure_140,2.1803
structure_141,2.1772
structure_142,2.1845
structure_143,2.1407
structure_144,2.2132
structure_145,2.1873
structure_146,2.1259
structure_147,2.1354
structure_148,2.1358
structure_149,2.1754
structure_150,2.1283
structure_151,1.9568
structure_152,2.2230
structure_153,2.1936
structure_154,2.1719
structure_155,2.1970
structure_156,2.1563
structure_157,2.1916
structure_158,2.1559
structure_159,2.2054
structure_160,2.1837
structure_161,2.1668
structure_162,2.1987
structure_163,2.1851
structure_164,2.1726
structure_165,2.1582
structure_166,2.2038
structure_167,2.1382
structure_168,2.1860
structure_169,2.2078
structure_170,2.1378
structure_171,2.1561
structure_172,2.1902
structure_173,2.1640
structure_174,2.1319
structure_175,2.1844
structure_176,2.1935
structure_177,2.1130
structure_178,2.1739
structure_179,2.1619
structure_180,2.1808
structure_181,2.1470
structure_182,2.1558
structure_183,2.1494
structure_184,2.1674
structure_185,2.1535
structure_186,2.2173
structure_187,2.0910
structure_188,2.1525
structure_189,2.2159
structure_190,2.2274
structure_191,2.1878
structure_192,2.1974
structure_193,2.1481
structure_194,2.1873
structure_195,2.1722
structure_196,2.1227
structure_197,2.0949
structure_198,2.1436
structure_199,2.2284
